option_type,lower_lattice,upper_lattice,num_zero_crossings_lattice,lower_pde_internal,upper_pde_internal,lower_mc_internal,upper_mc_internal
call,73.94291586064783,123.93399462230624,2,84.26582278481013,110.75949367088609,100.0,100.0
put,73.94291586064823,123.93399462230623,2,84.26582278481013,110.75949367088609,100.0,100.0
