sigma_spot,sigma_offset,option_type,lattice_value_S0,pde_value_S0,mc_value_S0,european_value_S0,early_exercise_premium_lattice,early_exercise_premium_pde,early_exercise_premium_mc,lower_boundary,upper_boundary,num_zero_crossings
0.1,0.0,call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.1,0.0,put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.1,0.02,call,0.7522276197748354,0.7520434361834004,0.7522276197748354,0.7522276197748354,0.0,-0.0001841835914350165,0.0,-inf,inf,0
0.1,0.02,put,0.7522276197748283,0.7520434361834067,0.7522276197748283,0.7522276197748283,0.0,-0.0001841835914215828,0.0,-inf,inf,0
0.1,0.05,call,1.8854153581831525,1.8850065408668544,1.8854153581831523,1.8854153581831525,0.0,-0.0004088173162981601,-2.220446049250313e-16,-inf,inf,0
0.1,0.05,put,1.8854153581831525,1.8850065408668537,1.8854153581831523,1.8854153581831525,0.0,-0.00040881731629882623,-2.220446049250313e-16,-inf,inf,0
0.1,0.1,call,3.780671213800261,3.779982824780969,3.7806712138002614,3.780671213800261,0.0,-0.0006883890192921349,4.440892098500626e-16,-inf,inf,0
0.1,0.1,put,3.780671213800261,3.7799828247809617,3.7806712138002614,3.780671213800261,0.0,-0.0006883890192992403,4.440892098500626e-16,-inf,inf,0
0.2,0.0,call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.2,0.0,put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.2,0.02,call,0.7522276197748354,0.7520434361834004,0.7522276197748354,0.7522276197748354,0.0,-0.0001841835914350165,0.0,-inf,inf,0
0.2,0.02,put,0.7522276197748283,0.7520434361834067,0.7522276197748283,0.7522276197748283,0.0,-0.0001841835914215828,0.0,-inf,inf,0
0.2,0.05,call,1.8854153581831525,1.8850065408668544,1.8854153581831523,1.8854153581831525,0.0,-0.0004088173162981601,-2.220446049250313e-16,-inf,inf,0
0.2,0.05,put,1.8854153581831525,1.8850065408668537,1.8854153581831523,1.8854153581831525,0.0,-0.00040881731629882623,-2.220446049250313e-16,-inf,inf,0
0.2,0.1,call,3.780671213800261,3.779982824780969,3.7806712138002614,3.780671213800261,0.0,-0.0006883890192921349,4.440892098500626e-16,-inf,inf,0
0.2,0.1,put,3.780671213800261,3.7799828247809617,3.7806712138002614,3.780671213800261,0.0,-0.0006883890192992403,4.440892098500626e-16,-inf,inf,0
0.3,0.0,call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.3,0.0,put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.3,0.02,call,0.7522276197748354,0.7520434365244498,0.7522276197748354,0.7522276197748354,0.0,-0.00018418325038560557,0.0,66.05643867134228,133.64062149409568,2
0.3,0.02,put,0.7522276197748283,0.7520434365244562,0.7522276197748283,0.7522276197748283,0.0,-0.00018418325037217187,0.0,66.05643867134343,133.64062149409767,2
0.3,0.05,call,1.8854153581831525,1.8850065417265887,1.8854153581831523,1.8854153581831525,0.0,-0.00040881645656387633,-2.220446049250313e-16,57.90991164312399,144.88638568953846,2
0.3,0.05,put,1.8854153581831525,1.8850065417265878,1.8854153581831523,1.8854153581831525,0.0,-0.0004088164565647645,-2.220446049250313e-16,57.90991164312163,144.8863856895293,2
0.3,0.1,call,3.780671213800261,3.779982824434185,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660760698,4.440892098500626e-16,-inf,inf,0
0.3,0.1,put,3.780671213800261,3.7799828244341778,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660831752,4.440892098500626e-16,-inf,inf,0
0.4,0.0,call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.4,0.0,put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.4,0.02,call,0.7522276197748354,0.7520434365244498,0.7522276197748354,0.7522276197748354,0.0,-0.00018418325038560557,0.0,73.67676871326414,123.48910197435308,2
0.4,0.02,put,0.7522276197748283,0.7520434365244562,0.7522276197748283,0.7522276197748283,0.0,-0.00018418325037217187,0.0,73.67676871326346,123.489101974353,2
0.4,0.05,call,1.8854153581831525,1.8850065417265887,1.8854153581831523,1.8854153581831525,0.0,-0.00040881645656387633,-2.220446049250313e-16,71.41089782364259,127.18287172406363,2
0.4,0.05,put,1.8854153581831525,1.8850065417265878,1.8854153581831523,1.8854153581831525,0.0,-0.0004088164565647645,-2.220446049250313e-16,71.41089782364256,127.18287172406407,2
0.4,0.1,call,3.780671213800261,3.779982824434185,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660760698,4.440892098500626e-16,66.74390411025671,134.61783056420285,2
0.4,0.1,put,3.780671213800261,3.7799828244341778,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660831752,4.440892098500626e-16,66.74390411025679,134.61783056420316,2
0.5,0.0,call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.5,0.0,put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,147.5,20
0.5,0.02,call,0.7522276197748354,0.7520434365244498,0.7522276197748354,0.7522276197748354,0.0,-0.00018418325038560557,0.0,75.33835965704597,121.66658016478263,2
0.5,0.02,put,0.7522276197748283,0.7520434365244562,0.7522276197748283,0.7522276197748283,0.0,-0.00018418325037217187,0.0,75.33835965704557,121.6665801647827,2
0.5,0.05,call,1.8854153581831525,1.8850065417265887,1.8854153581831523,1.8854153581831525,0.0,-0.00040881645656387633,-2.220446049250313e-16,73.656345626035,123.89757352882663,2
0.5,0.05,put,1.8854153581831525,1.8850065417265878,1.8854153581831523,1.8854153581831525,0.0,-0.0004088164565647645,-2.220446049250313e-16,73.65634562603495,123.89757352882677,2
0.5,0.1,call,3.780671213800261,3.779982824434185,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660760698,4.440892098500626e-16,71.07016441993159,128.3554081597759,2
0.5,0.1,put,3.780671213800261,3.7799828244341778,3.7806712138002614,3.780671213800261,0.0,-0.0006883893660831752,4.440892098500626e-16,71.07016441993171,128.3554081597759,2
